Province/State,lat,lng,Country/Region,Last Update,Confirmed,Deaths,Recovered
Anhui,30.6006773,117.9249002,China,0,1,0,0
Beijing,39.9041999,116.4073963,China,0,14,0,0
Chongqing,29.4315861,106.912251,China,0,6,0,0
Fujian,26.4836842,117.9249002,China,0,1,0,0
Gansu,35.7518326,104.2861116,China,0,0,0,0
Guangdong,23.3790333,113.7632828,China,0,26,0,0
Guangxi,23.7247599,108.8076195,China,0,2,0,0
Guizhou,26.8429645,107.2902839,China,0,1,0,0
Hainan,19.5663947,109.949686,China,0,4,0,0
Hebei,37.8956594,114.9042208,China,0,1,0,0
Heilongjiang,47.1216472,128.738231,China,0,0,0,0
Henan,34.2904302,113.3823545,China,0,5,0,0
Hong Kong,22.3193039,114.1693611,Hong Kong,0,0,0,0
Hubei,30.7378118,112.2384017,China,0,444,17,28
Hunan,27.6252995,111.8568586,China,0,4,0,0
Inner Mongolia,43.37822,115.0594815,China,0,0,0,0
Jiangsu,33.1401715,119.7889248,China,0,1,0,0
Jiangxi,27.0874564,114.9042208,China,0,2,0,0
Jilin,43.837883,126.549572,China,0,0,0,0
Liaoning,41.9436543,122.5290376,China,0,2,0,0
Macau,22.198745,113.543873,Macau,0,1,0,0
Ningxia,37.198731,106.1580937,China,0,1,0,0
Qinghai,35.744798,96.4077358,China,0,0,0,0
Shaanxi,35.3939908,109.1880047,China,0,0,0,0
Shandong,35.8939566,117.9249002,China,0,2,0,0
Shanghai,31.230416,121.473701,China,0,9,0,0
Shanxi,37.2425649,111.8568586,China,0,1,0,0
Sichuan,30.2638032,102.8054753,China,0,5,0,0
New Taipei City,25.0169826,121.4627868,Taiwan,0,1,0,0
Tianjin,39.3433574,117.3616476,China,0,4,0,0
Tibet,30.1533605,88.7878678,China,0,0,0,0
Washington,47.7510741,-120.7401385,US,0,1,0,0
Xinjiang,42.5246357,87.5395855,China,0,0,0,0
Yunnan,24.4752847,101.3431058,China,0,1,0,0
Zhejiang,29.1416432,119.7889248,China,0,10,0,0
Tokyo,35.6803997,139.7690174,Japan,0,2,0,0
Bangkok,13.7563309,100.5017651,Thailand,0,2,0,0
Seoul,37.566535,126.9779692,South Korea,0,1,0,0
Beijing,39.9041999,116.4073963,China,1,22,0,0
Chongqing,29.4315861,106.912251,China,1,9,0,0
Fujian,26.4836842,117.9249002,China,1,5,0,0
Gansu,35.7518326,104.2861116,China,1,2,0,0
Guangdong,23.3790333,113.7632828,China,1,32,0,2
Guangxi,23.7247599,108.8076195,China,1,5,0,0
Guizhou,26.8429645,107.2902839,China,1,3,0,0
Hainan,19.5663947,109.949686,China,1,5,0,0
Hebei,37.8956594,114.9042208,China,1,1,1,0
Heilongjiang,47.1216472,128.738231,China,1,2,0,0
Henan,34.2904302,113.3823545,China,1,5,0,0
Hong Kong,22.3193039,114.1693611,Hong Kong,1,2,0,0
Hubei,30.7378118,112.2384017,China,1,444,17,28
Hunan,27.6252995,111.8568586,China,1,9,0,0
Inner Mongolia,43.37822,115.0594815,China,1,0,0,0
Jiangsu,33.1401715,119.7889248,China,1,5,0,0
Jiangxi,27.0874564,114.9042208,China,1,7,0,0
Jilin,43.837883,126.549572,China,1,1,0,0
Liaoning,41.9436543,122.5290376,China,1,3,0,0
Macau,22.198745,113.543873,Macau,1,2,0,0
Ningxia,37.198731,106.1580937,China,1,1,0,0
Qinghai,35.744798,96.4077358,China,1,0,0,0
Shaanxi,35.3939908,109.1880047,China,1,3,0,0
Shandong,35.8939566,117.9249002,China,1,6,0,0
Shanghai,31.230416,121.473701,China,1,16,0,0
Shanxi,37.2425649,111.8568586,China,1,1,0,0
Sichuan,30.2638032,102.8054753,China,1,8,0,0
Taiwan,23.69781,120.960515,Taiwan,1,1,0,0
Tianjin,39.3433574,117.3616476,China,1,4,0,0
Tibet,30.1533605,88.7878678,China,1,0,0,0
Washington,47.7510741,-120.7401385,US,1,1,0,0
Xinjiang,42.5246357,87.5395855,China,1,2,0,0
Yunnan,24.4752847,101.3431058,China,1,2,0,0
